phi,label,score
29,black and white,0.032391053257685355
29,art,0.0256774439424528
29,owl,0.022031111565101055
30,animal,0.3883872926235199
30,bird,0.08059472590684891
30,fish,0.07087967544794083
30,illustration,0.05987846478819847
30,drawing,0.054886866360902786
30,sketch,0.049283720552921295
30,black and white,0.04117392748594284
31,animal,0.8228163719177246
31,rodent,0.1910642832517624
31,bird,0.0421785038880888
31,drawing,0.026941669963750227
31,sketch,0.026435494220131958
31,fish,0.02302332237823229
31,illustration,0.022827885268406036
31,black and white,0.0177607503588314
32,rodent,0.1468542367219925
32,animal,0.1468542367219925
32,bird,0.03306620870614356
32,drawing,0.026099936840564664
32,illustration,0.02513105715759974
32,sketch,0.021253548328241632
32,fish,0.01731502225054728
32,black and white,0.012928910359936405
33,vegetable,0.09252115339040756
33,animal,0.09252115339040756
33,illustration,0.025212810632724528
33,drawing,0.020587752836948477
33,sketch,0.019268899403300635
33,bird,0.017433768455061605
33,art,0.009931699249784562
33,fish,0.0093165242801844
33,black and white,0.009124249251809192
34,animal,0.8653144240379333
34,rodent,0.1897965669631958
34,illustration,0.04108574470005429
34,drawing,0.029789094101573804
34,bird,0.027472090532221938
34,sketch,0.022120133329382452
34,fish,0.019137081801015574
35,animal,0.3942277133464813
35,illustration,0.10302184522151947
35,drawing,0.06940511614084244
35,bird,0.06563985347747803
35,fish,0.037188734859228134
35,sketch,0.03385200724005699
36,animal,0.4349977374076843
36,bird,0.06982015818357468
36,drawing,0.06924708187580109
36,illustration,0.06709417700767517
36,sketch,0.03839920088648796
36,fish,0.034670840948820114
37,animal,0.39529457688331604
37,bird,0.08508137613534927
37,illustration,0.06337132304906845
37,drawing,0.05567021295428276
37,fish,0.0417456328868866
37,rabbit,0.03599971905350685
37,sketch,0.03352322056889534
38,mammal,0.5439648628234863
38,rodent,0.2671896815299988
38,animal,0.2671896815299988
38,illustration,0.0557344751276285
38,bird,0.047923207259870926
38,drawing,0.04563584527109515
38,sketch,0.031043486809998275
38,fish,0.02476527957641981
39,animal,0.8508301973342896
39,mammal,0.6481728553771973
39,rodent,0.17802584171295166
39,illustration,0.032699447202912756
39,drawing,0.021364862186749514
39,bird,0.021068280518316638
39,sketch,0.014712197372970217
40,animal,0.4535219073295593
40,illustration,0.06492991745471954
40,drawing,0.05856426805257797
40,bird,0.05540662258863449
40,sketch,0.04805975779891014
40,rabbit,0.033286336809396744
41,animal,0.8905377984046936
41,rabbit,0.20306913320521347
41,bird,0.1898673703326958
41,illustration,0.18840562038986222
41,drawing,0.15792613889926044
41,sketch,0.11865731184314558
